"StudentID","Appreciation","Comments"
"300124366",":1st_place_medal:","1️⃣ Bonne illustration, commenter de préférence par image"
"300147253",":x:","1️⃣ Rien à corriger"
"300147891",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300155045",":x:","1️⃣ Rien à corriger"
"300151722",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300152004",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300153405",":x:","1️⃣ Rien à corriger"
"300153416",":1st_place_medal:","2️⃣ Bonne illustration, commenter de préférence par image"
"300155462",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300156534",":1st_place_medal:","1️⃣ Bonne illustration, commenter de préférence par image"
"300157250",":x:","1️⃣ Rien à corriger"
"300157298",":x:","1️⃣ Rien à corriger"
"300157307",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300157423",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300157606",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300157727",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300157733",":1st_place_medal:","1️⃣ Bonne illustration, commenter de préférence par image"
"300158085",":1st_place_medal:","1️⃣ Bonne illustration, commenter de préférence par image"
"300159180",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300159195",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300159203",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300159437",":1st_place_medal:","1️⃣ Bonne illustration malgré le manque de texte"
"300159463",":1st_place_medal:","1️⃣ Trés bonne illustration malgré le manque de texte"
"300159693",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300159672",":1st_place_medal:","1️⃣ Bonne illustration malgré le manque de texte"
"300159887",":1st_place_medal:","1️⃣ Bonne illustration malgré le manque de texte"
"300159995",":x:","1️⃣ Rien à corriger"
"300160006",":1st_place_medal:","1️⃣ Bonne illustration malgré le manque de texte"
"300160424",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300160504",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300160733",":3rd_place_medal:","1️⃣ Pas grand chose à corriger"
"300160862",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
